id	class	pos	qual	aScore	numN	readLen	junction	strand	posR2	qualR2	aScoreR2	numNR2	readLenR2	junctionR2	strandR2
J00118:113:H3TK7BBXX:3:2227:23409:17051	linearStrong	42	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	46	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2224:29660:31787	linearStrong	52	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	36	42	0	0	150	chr16|TRAP1:3715971|TRAP1:3714460|reg|-	16
J00118:113:H3TK7BBXX:3:2219:4005:35128	linearStrong	61	0	-26	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	63	42	-3	0	140	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2216:13798:18863	linearStrong	25	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	31	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2213:27559:32508	linearStrong	109	40	-6	0	104	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	109	40	-6	0	104	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2202:19360:14045	linearStrong	37	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	53	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2202:19451:2738	linearStrong	61	42	0	0	132	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	61	42	0	0	132	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2127:26210:10088	linearStrong	61	24	-11	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	56	24	-13	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2121:12926:5640	linearStrong	106	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	116	42	0	0	150	chr16|TRAP1:3715971|TRAP1:3714460|reg|-	16
J00118:113:H3TK7BBXX:3:2117:15453:3407	linearStrong	34	42	0	0	134	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	34	42	-3	0	134	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2115:10835:15838	linearStrong	62	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	118	40	-9	0	150	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2114:31203:39277	linearStrong	40	27	-3	0	124	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	40	39	0	0	124	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2113:12479:6167	linearStrong	62	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	82	42	-5	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2112:5304:37589	linearStrong	106	42	-3	0	97	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	106	42	0	0	97	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2107:17320:36991	linearStrong	61	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	61	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2107:30066:32314	linearStrong	61	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	64	42	-3	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2105:3721:44517	linearStrong	61	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	61	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2102:19461:48157	linearStrong	104	40	-8	0	150	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	133	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1227:27245:8717	linearStrong	54	42	-5	0	150	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	61	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1226:16264:5165	linearStrong	42	38	0	0	122	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	42	42	0	0	123	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1224:30066:14695	linearStrong	61	42	0	0	139	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	71	42	0	0	141	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1224:29173:9948	linearStrong	15	37	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	41	42	0	0	146	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1222:26717:23487	linearStrong	40	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	138	39	0	0	92	chr16|TRAP1:3715971|TRAP1:3714460|reg|-	16
